PERSON_ID,DISPLAY_FIRST_LAST,TEAM_NAME,POSITION,HEIGHT,WEIGHT,COUNTRY,BIRTHDATE,SEASON_EXP,DRAFT_NUMBER,GP,MIN,PTS,REB,AST,STL,BLK,GAME_DATE,SALARY
1630173,Precious Achiuwa,Raptors,Forward,6-8,225,Nigeria,1999-09-19T00:00:00,1,20,134,18.4,7.2,5.1,0.8,0.4,0.5,APR 18 2022 07:30 PM,2711280
203500,Steven Adams,Grizzlies,Center,6-11,265,New Zealand,1993-07-20T00:00:00,8,12,664,17811.0,6157.0,5303.0,982.0,588.0,629.0,APR 19 2022 08:30 PM,17073171
1628389,Bam Adebayo,Heat,Center-Forward,6-9,255,USA,1997-07-18T00:00:00,4,14,343,9666.0,4617.0,2850.0,1189.0,340.0,309.0,APR 19 2022 07:30 PM,28103550
1630583,Santi Aldama,Grizzlies,Forward-Center,6-11,215,Spain,2001-01-10T00:00:00,0,30,32,360.0,132.0,87.0,21.0,6.0,10.0,APR 19 2022 08:30 PM,1994520
200746,LaMarcus Aldridge,Nets,Center-Forward,6-11,250,USA,1985-07-19T00:00:00,15,2,1076,36242.0,20558.0,8736.0,2076.0,758.0,1187.0,APR 20 2022 07:00 PM,2641691
1629638,Nickeil Alexander-Walker,Jazz,Guard,6-5,205,Canada,1998-09-02T00:00:00,2,17,158,3064.0,1467.0,415.0,347.0,110.0,53.0,APR 18 2022 08:30 PM,3261480
1628960,Grayson Allen,Bucks,Guard,6-4,198,USA,1995-10-08T00:00:00,3,21,192,4199.0,1806.0,490.0,285.0,108.0,34.0,APR 20 2022 09:30 PM,4054695
1628386,Jarrett Allen,Cavaliers,Center,6-10,243,USA,1998-04-21T00:00:00,4,22,341,9062.0,3945.0,2964.0,467.0,187.0,465.0,Empty,20000000
1630631,Jose Alvarado,Pelicans,Guard,6-0,179,USA,1998-04-12T00:00:00,0,Undrafted,54,834.0,330.0,100.0,152.0,71.0,7.0,APR 19 2022 10:00 PM,1500000
203937,Kyle Anderson,Grizzlies,Forward-Guard,6-9,230,USA,1993-09-20T00:00:00,7,30,505,10584.0,3366.0,2220.0,1167.0,510.0,298.0,APR 19 2022 08:30 PM,9937150
203507,Giannis Antetokounmpo,Bucks,Forward,6-11,242,Greece,1994-12-06T00:00:00,8,15,656,21354.0,14321.0,6149.0,3020.0,764.0,856.0,APR 20 2022 09:30 PM,39344970
203648,Thanasis Antetokounmpo,Bucks,Forward,6-6,219,Greece,1992-07-18T00:00:00,3,51,127,1159.0,398.0,250.0,83.0,45.0,24.0,APR 20 2022 09:30 PM,1729217
2546,Carmelo Anthony,Lakers,Forward,6-7,238,USA,1984-05-29T00:00:00,18,3,1260,43514.0,28289.0,7808.0,3422.0,1223.0,644.0,Empty,2641691
1630175,Cole Anthony,Magic,Guard,6-3,185,USA,2000-05-15T00:00:00,1,15,112,3332.0,1667.0,569.0,561.0,76.0,35.0,Empty,3449400
1628384,OG Anunoby,Raptors,Forward,6-7,232,United Kingdom,1997-07-17T00:00:00,4,23,301,8061.0,3144.0,1246.0,429.0,331.0,138.0,APR 18 2022 07:30 PM,16071429
1627853,Ryan Arcidiacono,Knicks,Guard,6-3,195,USA,1994-03-26T00:00:00,4,Undrafted,217,3722.0,1005.0,429.0,460.0,115.0,7.0,Empty,586136
201571,D.J. Augustin,Lakers,Guard,5-11,183,USA,1987-11-10T00:00:00,13,9,976,22852.0,9259.0,1805.0,3761.0,567.0,32.0,Empty,7622467
1630166,Deni Avdija,Wizards,Forward,6-9,210,Israel,2001-01-03T00:00:00,1,9,136,3241.0,1027.0,687.0,230.0,91.0,59.0,Empty,4692840
1629028,Deandre Ayton,Suns,Center,6-11,250,Bahamas,1998-07-23T00:00:00,3,1,236,7246.0,3843.0,2485.0,380.0,168.0,246.0,APR 19 2022 10:00 PM,12632950
1628962,Udoka Azubuike,Jazz,Center-Forward,7-0,270,Nigeria,1999-09-17T00:00:00,1,27,32,252.0,96.0,84.0,0.0,2.0,15.0,APR 18 2022 08:30 PM,2075880
1628963,Marvin Bagley III,Pistons,Forward,6-11,235,USA,1999-03-14T00:00:00,3,2,166,4159.0,2256.0,1224.0,151.0,82.0,110.0,Empty,11312114
1630163,LaMelo Ball,Hornets,Guard,6-7,180,USA,2001-08-22T00:00:00,1,3,126,3891.0,2311.0,803.0,884.0,200.0,48.0,Empty,8231760
1628366,Lonzo Ball,Bulls,Guard,6-6,190,USA,1997-10-27T00:00:00,4,2,252,8187.0,2995.0,1447.0,1563.0,391.0,162.0,APR 20 2022 09:30 PM,18604651
1628964,Mo Bamba,Magic,Center,7-0,231,USA,1998-05-12T00:00:00,3,6,226,4193.0,1747.0,1372.0,201.0,88.0,326.0,Empty,7568742
1630217,Desmond Bane,Grizzlies,Guard,6-5,215,USA,1998-06-25T00:00:00,1,30,144,3785.0,2009.0,544.0,326.0,133.0,45.0,APR 19 2022 08:30 PM,2033160
1630625,Dalano Banton,Raptors,Forward,6-7,204,Canada,1999-11-07T00:00:00,0,46,64,696.0,205.0,124.0,99.0,28.0,10.0,APR 18 2022 07:30 PM,925258
203084,Harrison Barnes,Kings,Forward,6-8,225,USA,1992-05-30T00:00:00,9,7,747,23763.0,10566.0,3817.0,1376.0,522.0,142.0,Empty,20284091
1630567,Scottie Barnes,Raptors,Forward,6-7,225,USA,2001-08-01T00:00:00,0,4,74,2617.0,1134.0,557.0,256.0,80.0,55.0,APR 18 2022 07:30 PM,7280520
1629628,RJ Barrett,Knicks,Forward-Guard,6-6,214,Canada,2000-06-14T00:00:00,2,3,198,6633.0,3469.0,1101.0,568.0,151.0,53.0,Empty,8623920
203115,Will Barton,Nuggets,Guard,6-5,181,USA,1991-01-06T00:00:00,9,40,623,16123.0,7246.0,2655.0,1705.0,476.0,259.0,APR 18 2022 10:00 PM,15384615
1629646,Charles Bassey,76ers,Center-Forward,6-9,230,Nigeria,2000-10-28T00:00:00,0,53,23,168.0,69.0,62.0,7.0,5.0,17.0,APR 18 2022 07:30 PM,925258
1628966,Keita Bates-Diop,Spurs,Forward,6-8,229,USA,1996-01-23T00:00:00,3,48,163,2449.0,853.0,490.0,100.0,75.0,57.0,Empty,1729217
201587,Nicolas Batum,Clippers,Guard-Forward,6-8,230,France,1988-12-14T00:00:00,13,25,915,28029.0,10149.0,4707.0,3215.0,874.0,579.0,Empty,12213507
203145,Kent Bazemore,Lakers,Guard-Forward,6-4,195,USA,1989-07-01T00:00:00,9,Undrafted,657,13546.0,5414.0,2072.0,1154.0,658.0,309.0,Empty,2401537
1629647,Darius Bazley,Thunder,Forward,6-8,208,USA,2000-06-12T00:00:00,2,23,185,4768.0,1841.0,1078.0,237.0,110.0,136.0,Empty,2513040
203078,Bradley Beal,Wizards,Guard,6-4,207,USA,1993-06-28T00:00:00,9,3,645,22418.0,14231.0,2641.0,2701.0,727.0,251.0,Empty,34502130
1627736,Malik Beasley,Timberwolves,Guard,6-4,187,USA,1996-11-26T00:00:00,5,19,336,7025.0,3488.0,825.0,418.0,190.0,44.0,APR 19 2022 08:30 PM,14391964
202722,Davis Bertans,Mavericks,Forward,6-10,225,Latvia,1992-11-12T00:00:00,5,42,387,7379.0,3165.0,1045.0,392.0,168.0,147.0,APR 18 2022 08:30 PM,16000000
201976,Patrick Beverley,Timberwolves,Guard,6-1,180,USA,1988-07-12T00:00:00,9,42,526,14410.0,4654.0,2243.0,1839.0,602.0,271.0,APR 19 2022 08:30 PM,14320988
1630180,Saddiq Bey,Pistons,Forward,6-7,215,USA,1999-04-09T00:00:00,1,19,152,4613.0,2178.0,759.0,328.0,125.0,30.0,Empty,2824320
203920,Khem Birch,Raptors,Center,6-9,233,Canada,1992-09-28T00:00:00,4,Undrafted,262,4664.0,1359.0,1216.0,267.0,131.0,149.0,APR 18 2022 07:30 PM,6350000
1629048,Goga Bitadze,Pacers,Center-Forward,7-0,250,Georgia,1999-07-20T00:00:00,2,18,149,1762.0,752.0,433.0,115.0,40.0,139.0,Empty,3098400
202687,Bismack Biyombo,Suns,Center,6-8,255,DRC,1992-08-28T00:00:00,10,7,738,14720.0,3814.0,4482.0,442.0,188.0,952.0,APR 19 2022 10:00 PM,1366392
202357,Nemanja Bjelica,Warriors,Forward,6-9,234,Serbia,1988-05-09T00:00:00,6,35,449,9172.0,3412.0,2051.0,825.0,288.0,184.0,APR 18 2022 10:00 PM,2089448
202339,Eric Bledsoe,Trail Blazers,Guard,6-1,214,USA,1989-12-09T00:00:00,11,18,756,21020.0,10348.0,2937.0,3545.0,1028.0,344.0,Empty,18125000
1629833,Keljin Blevins,Trail Blazers,Guard,6-4,200,USA,1995-11-24T00:00:00,1,,48,424.0,107.0,55.0,23.0,15.0,1.0,Empty,0
203992,Bogdan Bogdanovic,Hawks,Guard,6-6,225,Serbia,1992-08-18T00:00:00,4,27,316,9042.0,4501.0,1083.0,1073.0,325.0,73.0,APR 19 2022 07:30 PM,18000000
202711,Bojan Bogdanovic,Jazz,Forward,6-7,226,Croatia,1989-04-18T00:00:00,7,31,603,17519.0,9043.0,2184.0,945.0,334.0,42.0,APR 18 2022 08:30 PM,18700000
1629626,Bol Bol,Magic,Center-Forward,7-2,220,Sudan,1999-11-16T00:00:00,2,44,53,327.0,142.0,63.0,18.0,6.0,18.0,Empty,2161152
1630195,Leandro Bolmaro,Timberwolves,Forward,6-6,200,Argentina,2000-09-11T00:00:00,0,23,35,241.0,50.0,43.0,21.0,6.0,0.0,APR 19 2022 08:30 PM,2353320
1629067,Isaac Bonga,Raptors,Guard,6-8,180,Germany,1999-11-08T00:00:00,3,39,143,1870.0,439.0,320.0,118.0,73.0,37.0,APR 18 2022 07:30 PM,1729217
1626164,Devin Booker,Suns,Guard,6-5,206,USA,1996-10-30T00:00:00,6,13,477,16072.0,11217.0,1865.0,2228.0,398.0,128.0,APR 19 2022 10:00 PM,31610000
1630527,Brandon Boston Jr.,Clippers,Guard,6-6,188,USA,2001-11-28T00:00:00,0,51,51,760.0,343.0,111.0,51.0,26.0,13.0,Empty,925258
1628449,Chris Boucher,Raptors,Forward-Center,6-9,200,Saint Lucia,1993-01-11T00:00:00,4,Undrafted,231,4126.0,2076.0,1232.0,116.0,112.0,271.0,APR 18 2022 07:30 PM,7009615
1630547,James Bouknight,Hornets,Guard,6-4,190,USA,2000-09-18T00:00:00,0,11,31,304.0,142.0,52.0,26.0,7.0,1.0,Empty,4154400
202340,Avery Bradley,Lakers,Guard,6-3,180,USA,1990-11-26T00:00:00,11,19,660,18152.0,7279.0,1863.0,1105.0,655.0,128.0,Empty,2641691
1628396,Tony Bradley,Bulls,Center-Forward,6-10,248,USA,1998-01-08T00:00:00,4,28,167,1961.0,773.0,718.0,89.0,41.0,98.0,APR 20 2022 09:30 PM,1789256
1629649,Ignas Brazdeikis,Magic,Forward,6-6,221,Canada,1999-01-08T00:00:00,2,47,64,838.0,318.0,122.0,58.0,14.0,7.0,Empty,0
1628969,Mikal Bridges,Suns,Forward,6-6,209,USA,1996-08-30T00:00:00,3,10,309,9661.0,3483.0,1212.0,639.0,403.0,183.0,APR 19 2022 10:00 PM,5557725
1628970,Miles Bridges,Hornets,Forward,6-7,225,USA,1998-03-21T00:00:00,3,12,291,8461.0,3893.0,1641.0,656.0,213.0,216.0,Empty,5421493
1629052,Oshae Brissett,Pacers,Forward-Guard,6-7,210,Canada,1998-06-20T00:00:00,2,Undrafted,107,2218.0,879.0,499.0,97.0,67.0,50.0,Empty,1701593
1627763,Malcolm Brogdon,Pacers,Guard,6-5,229,USA,1992-12-11T00:00:00,5,36,333,10052.0,5159.0,1398.0,1596.0,285.0,77.0,Empty,21700000
1629717,Armoni Brooks,Raptors,Guard,6-3,195,USA,1998-06-05T00:00:00,1,,74,1364.0,511.0,171.0,92.0,40.0,16.0,APR 18 2022 07:30 PM,1625991
1628415,Dillon Brooks,Grizzlies,Guard-Forward,6-7,225,Canada,1996-01-22T00:00:00,4,45,272,7674.0,3955.0,829.0,546.0,260.0,82.0,APR 19 2022 08:30 PM,12200000
1628971,Bruce Brown,Nets,Guard-Forward,6-4,202,USA,1996-08-15T00:00:00,3,42,269,6309.0,2056.0,1153.0,573.0,238.0,145.0,APR 20 2022 07:00 PM,4736102
1627759,Jaylen Brown,Celtics,Guard-Forward,6-6,223,USA,1996-10-24T00:00:00,5,3,403,11559.0,6644.0,1994.0,822.0,381.0,146.0,APR 20 2022 07:00 PM,24830357
1629650,Moses Brown,Cavaliers,Center,7-2,245,USA,1999-10-13T00:00:00,2,Undrafted,92,1297.0,552.0,532.0,12.0,39.0,64.0,Empty,1720779
1628425,Sterling Brown,Mavericks,Guard-Forward,6-5,219,USA,1995-02-10T00:00:00,4,46,264,4435.0,1431.0,883.0,266.0,137.0,47.0,APR 18 2022 08:30 PM,3000000
1630535,Greg Brown III,Trail Blazers,Forward,6-7,206,USA,2001-09-01T00:00:00,0,43,48,640.0,225.0,135.0,35.0,26.0,24.0,Empty,925258
1629718,Charlie Brown Jr.,76ers,Guard,6-6,199,USA,1997-02-02T00:00:00,2,Undrafted,41,370.0,90.0,53.0,17.0,16.0,8.0,APR 18 2022 07:30 PM,0
1630602,Chaundee Brown Jr.,Hawks,Forward,6-5,215,USA,1998-12-04T00:00:00,0,Undrafted,5,104.0,31.0,16.0,4.0,2.0,0.0,APR 19 2022 07:30 PM,0
1628972,Troy Brown Jr.,Bulls,Guard-Forward,6-6,215,USA,1999-07-28T00:00:00,3,15,221,4090.0,1408.0,836.0,353.0,152.0,23.0,APR 20 2022 09:30 PM,5170564
1628973,Jalen Brunson,Mavericks,Guard,6-1,190,USA,1996-08-31T00:00:00,3,33,277,6835.0,3286.0,843.0,1034.0,160.0,12.0,APR 18 2022 08:30 PM,1802057
1628418,Thomas Bryant,Wizards,Center-Forward,6-10,248,USA,1997-07-31T00:00:00,4,42,170,3425.0,1733.0,971.0,219.0,61.0,147.0,Empty,8730159
203493,Reggie Bullock,Mavericks,Guard-Forward,6-6,205,USA,1991-03-16T00:00:00,8,25,434,9775.0,3382.0,1095.0,524.0,252.0,63.0,APR 18 2022 08:30 PM,9536000
203504,Trey Burke,Mavericks,Guard,6-0,185,USA,1992-11-12T00:00:00,8,9,498,10401.0,4792.0,878.0,1522.0,274.0,52.0,APR 18 2022 08:30 PM,3333333
202692,Alec Burks,Knicks,Guard,6-6,214,USA,1991-07-20T00:00:00,10,12,625,14378.0,6649.0,2210.0,1264.0,438.0,132.0,Empty,9536000
1630215,Jared Butler,Jazz,Guard,6-3,193,USA,2000-08-25T00:00:00,0,40,42,360.0,161.0,45.0,63.0,17.0,8.0,APR 18 2022 08:30 PM,925258
202710,Jimmy Butler,Heat,Forward,6-7,230,USA,1989-09-14T00:00:00,10,30,690,22863.0,12222.0,3658.0,2836.0,1127.0,323.0,APR 19 2022 07:30 PM,36016200
1629719,Devontae Cacok,Spurs,Forward,6-7,240,USA,1996-10-08T00:00:00,2,Undrafted,36,228.0,91.0,79.0,8.0,13.0,11.0,Empty,364533
203484,Kentavious Caldwell-Pope,Wizards,Guard,6-5,204,USA,1993-02-18T00:00:00,8,8,683,19972.0,7911.0,2148.0,1150.0,748.0,154.0,Empty,13038862
1630267,Facundo Campazzo,Nuggets,Guard,5-10,195,Argentina,1991-03-23T00:00:00,1,Undrafted,130,2609.0,728.0,251.0,452.0,142.0,37.0,APR 18 2022 10:00 PM,3804150
1628427,Vlatko Cancar,Nuggets,Forward,6-8,236,Slovenia,1997-04-10T00:00:00,2,49,70,503.0,164.0,91.0,34.0,14.0,6.0,APR 18 2022 10:00 PM,1782621
1629962,Devin Cannady,Magic,Guard,6-2,183,USA,1996-05-21T00:00:00,1,,13,219.0,84.0,11.0,11.0,10.0,4.0,Empty,100000
203991,Clint Capela,Hawks,Center,6-10,256,Switzerland,1994-05-18T00:00:00,7,25,471,12614.0,5851.0,5023.0,465.0,328.0,713.0,APR 19 2022 07:30 PM,17103448
1630176,Vernon Carey Jr.,Wizards,Forward-Center,6-9,270,USA,2001-02-25T00:00:00,1,32,26,159.0,66.0,39.0,2.0,3.0,6.0,Empty,1517981
1628975,Jevon Carter,Bucks,Guard,6-1,200,USA,1995-09-14T00:00:00,3,32,223,3144.0,984.0,386.0,320.0,126.0,51.0,APR 20 2022 09:30 PM,4107149
1628976,Wendell Carter Jr.,Magic,Center-Forward,6-10,270,USA,1999-04-16T00:00:00,3,7,203,5593.0,2476.0,1803.0,404.0,130.0,179.0,Empty,6920027
1627936,Alex Caruso,Bulls,Guard,6-5,186,USA,1994-02-28T00:00:00,4,Undrafted,225,4631.0,1386.0,573.0,601.0,252.0,67.0,APR 20 2022 09:30 PM,8604651
1630551,Justin Champagnie,Raptors,Guard-Forward,6-6,206,USA,2001-06-29T00:00:00,0,Undrafted,36,281.0,81.0,72.0,11.0,8.0,4.0,APR 18 2022 07:30 PM,0
1629185,Chris Chiozza,Warriors,Guard,5-11,175,USA,1995-11-21T00:00:00,3,Undrafted,91,1038.0,303.0,117.0,217.0,42.0,11.0,APR 18 2022 10:00 PM,0
1627737,Marquese Chriss,Mavericks,Forward,6-9,240,USA,1997-07-02T00:00:00,5,8,292,5338.0,2206.0,1366.0,298.0,187.0,227.0,APR 18 2022 08:30 PM,958529
1630528,Josh Christopher,Rockets,Guard,6-3,215,USA,2001-12-08T00:00:00,0,24,74,1334.0,587.0,186.0,150.0,65.0,13.0,Empty,2259240
1629109,Gary Clark,Pelicans,Forward,6-6,225,USA,1994-11-16T00:00:00,3,Undrafted,170,2239.0,524.0,431.0,84.0,52.0,62.0,APR 19 2022 10:00 PM,377645
1629634,Brandon Clarke,Grizzlies,Forward,6-8,215,Canada,1996-09-19T00:00:00,2,21,181,3961.0,1976.0,1015.0,262.0,131.0,167.0,APR 19 2022 08:30 PM,2726880
203903,Jordan Clarkson,Jazz,Guard,6-4,194,USA,1992-06-07T00:00:00,7,46,600,16190.0,9216.0,1971.0,1526.0,515.0,88.0,APR 18 2022 08:30 PM,12420000
1629651,Nic Claxton,Nets,Forward-Center,6-11,215,USA,1999-04-17T00:00:00,2,31,94,1755.0,688.0,474.0,87.0,48.0,99.0,APR 20 2022 07:00 PM,1782621
1629599,Amir Coffey,Clippers,Guard-Forward,6-7,210,USA,1997-06-17T00:00:00,2,Undrafted,131,2121.0,817.0,257.0,160.0,53.0,17.0,Empty,153488
1628381,John Collins,Hawks,Forward-Center,6-9,226,USA,1997-09-23T00:00:00,4,19,293,8487.0,4837.0,2441.0,455.0,167.0,304.0,APR 19 2022 07:30 PM,23000000
1628380,Zach Collins,Spurs,Forward-Center,6-11,250,USA,1997-11-19T00:00:00,3,10,182,3193.0,1099.0,767.0,200.0,60.0,125.0,Empty,6984127
201144,Mike Conley,Jazz,Guard,6-1,175,USA,1987-10-11T00:00:00,14,4,958,30618.0,14221.0,2872.0,5407.0,1363.0,197.0,APR 18 2022 08:30 PM,21000000
1626192,Pat Connaughton,Bucks,Guard,6-5,209,USA,1993-01-06T00:00:00,6,41,417,7717.0,2469.0,1392.0,521.0,197.0,118.0,APR 20 2022 09:30 PM,5333333
1629076,Tyler Cook,Bulls,Forward,6-8,255,USA,1997-09-23T00:00:00,2,Undrafted,65,691.0,246.0,162.0,21.0,15.0,6.0,APR 20 2022 09:30 PM,0
1630536,Sharife Cooper,Hawks,Guard,6-1,176,USA,2001-06-11T00:00:00,0,48,13,39.0,7.0,5.0,5.0,0.0,0.0,APR 19 2022 07:30 PM,0
202326,DeMarcus Cousins,Nuggets,Center,6-10,270,USA,1990-08-13T00:00:00,10,5,654,19509.0,12802.0,6664.0,1979.0,874.0,742.0,APR 18 2022 10:00 PM,1290481
203496,Robert Covington,Clippers,Forward,6-7,209,USA,1990-12-14T00:00:00,8,Undrafted,537,16064.0,6222.0,3122.0,803.0,861.0,527.0,Empty,12975471
1628470,Torrey Craig,Suns,Forward,6-7,221,USA,1990-12-19T00:00:00,4,Undrafted,300,5603.0,1698.0,1086.0,284.0,146.0,160.0,APR 19 2022 10:00 PM,4878049
203109,Jae Crowder,Suns,Forward,6-6,235,USA,1990-07-06T00:00:00,9,34,735,18561.0,7056.0,3141.0,1182.0,736.0,254.0,APR 19 2022 10:00 PM,9720900
1629633,Jarrett Culver,Grizzlies,Guard-Forward,6-6,195,USA,1999-02-20T00:00:00,2,6,134,2343.0,890.0,364.0,167.0,94.0,52.0,APR 19 2022 08:30 PM,6395160
1630595,Cade Cunningham,Pistons,Guard,6-6,220,USA,2001-09-25T00:00:00,0,1,64,2088.0,1114.0,354.0,356.0,78.0,43.0,Empty,10050120
203552,Seth Curry,Nets,Guard,6-2,185,USA,1990-08-23T00:00:00,7,Undrafted,377,9489.0,4245.0,843.0,832.0,274.0,53.0,APR 20 2022 07:00 PM,8186047
201939,Stephen Curry,Warriors,Guard,6-2,185,USA,1988-03-14T00:00:00,12,7,826,28361.0,20064.0,3838.0,5388.0,1367.0,187.0,APR 18 2022 10:00 PM,45780966
203076,Anthony Davis,Lakers,Forward-Center,6-10,253,USA,1993-03-11T00:00:00,9,1,604,20805.0,14390.0,6162.0,1414.0,824.0,1413.0,Empty,35361360
202334,Ed Davis,Cavaliers,Center-Forward,6-9,218,USA,1989-06-05T00:00:00,11,13,722,13757.0,4291.0,4616.0,539.0,349.0,566.0,Empty,2641691
1629056,Terence Davis,Kings,Guard,6-4,201,USA,1997-05-16T00:00:00,2,Undrafted,163,2820.0,1387.0,485.0,238.0,108.0,39.0,Empty,4000000
201942,DeMar DeRozan,Bulls,Guard-Forward,6-6,220,USA,1989-08-07T00:00:00,12,9,957,32790.0,19869.0,4227.0,3729.0,935.0,280.0,APR 20 2022 09:30 PM,26000000
203473,Dewayne Dedmon,Heat,Center,7-0,245,USA,1989-08-12T00:00:00,8,Undrafted,477,8471.0,3056.0,2836.0,332.0,249.0,390.0,APR 19 2022 07:30 PM,5256308
1628978,Donte DiVincenzo,Kings,Guard,6-4,203,USA,1997-01-31T00:00:00,3,17,201,4752.0,1809.0,933.0,506.0,218.0,49.0,Empty,4675830
1628977,Hamidou Diallo,Pistons,Guard,6-5,202,USA,1998-07-31T00:00:00,3,45,207,3917.0,1748.0,813.0,227.0,170.0,60.0,Empty,5200000
203476,Gorgui Dieng,Hawks,Center,6-10,248,Senegal,1990-01-18T00:00:00,8,21,597,12269.0,4470.0,3427.0,784.0,464.0,535.0,APR 19 2022 07:30 PM,4000000
203915,Spencer Dinwiddie,Mavericks,Guard,6-6,215,USA,1993-04-06T00:00:00,7,38,387,10207.0,5042.0,1167.0,1933.0,260.0,104.0,APR 18 2022 08:30 PM,17142857
1629029,Luka Doncic,Mavericks,Forward-Guard,6-7,230,Slovenia,1999-02-28T00:00:00,3,3,264,8928.0,6962.0,2256.0,2102.0,278.0,111.0,APR 18 2022 08:30 PM,10174391
1629652,Luguentz Dort,Thunder,Guard,6-3,215,Canada,1999-04-19T00:00:00,2,Undrafted,139,4029.0,1850.0,482.0,203.0,122.0,41.0,Empty,1782621
